name
Yakkalamulla Central 122/A
Mahakaduwa East 152/C
Madurawela 99/C
Thalakumbura Central 417/A
Neluwa North
Aluthtota West
Ginigoda West 660/C
Nawalaoya Pahala 597/B
Udunuwara North 754/B
Batugama South 94/A
Galnewa Central 873
Lankapura West 462/B
Elpitiya North 258/A
Tangalle Pahala 551
Padaviya West 694/B
Udahena East 616/A
Medagedara Central 609/A
Porativu Ihala 263/C
Horowpothana East 749/C
Dompe Pahala 609/A
Thalakanda East 709/A
Kalumulla
Paranatota East 165/B
Rukmulla Central
Ginihena East 282/B
Akmeemana South 297/C
Kudamulla West
Paranamulla North
Ratupura West 868
Galkaduwa Central 710
Aluthpitiya Ihala 69/C
Mundel South 872/B
Kalukanda North 393/B
Kandaketiya Central 453/B
Welikanda Central 839
Porativu Central 415/C
Palledeniya 112
Galewela North 283/C
Udaoya West 377
Pachchilaipalli East 68/A
Puttalam South 872/B
Thalagama West 731
Ratupitiya West 664
Digamulla West 358/C
Batapitiya North 95/B
Kiriella 18/A
Batuhena Ihala 749/B
Ratuwatta Pahala 22/C
Velanai Pahala 393/C
Paranawela South 340
Ihalatota Pahala 498
Mihintale Ihala 656/A
Waligama Ihala 863
Walapane Pahala 765/A
Thalagala West 877
Ratugama Pahala 650/C
Galgamuwa Central 636
Medawachchiya 871/A
Pahalamulla 179/C
Vavuniya North Pahala 643/C
Point Pedro Pahala 110/C
Mahiyanganaya East 106/A
Thawalama Pahala
Ukuwela East 126/B
Eheliyagoda West 135/A
Kaluhena Pahala
Udapalatha 11/A
Ratugamuwa 851/C
Agalawatta Ihala 32/B
Thalagala Central 599
Kataragama South
Minuwangoda Ihala 155/A
Ambalantota Pahala 781
Aluthtota 291/A
Mutur 410/C
Eheliyagoda Pahala
Monaragala
Kalugama West 404/B
Digapitiya North
Udunuwara Central 149/C
Medamulla East 199
Kaluoya 601/B
Galdeniya Pahala
Yatinuwara South
Batugama Pahala 402/B
Kalupura South 793/A
Maha Oya South 919/A
Rukpitiya Ihala
Palleoya Central 490/A
Hikkaduwa Central
Habaraduwa Central 566/C
Thalapitiya South 668/A
Batakumbura Central 125/A
Katana Central
Kuchchaveli West 49/B
Padaviya North
Pahalagama Pahala 288
Balangoda West
Batukaduwa Central
Kalutota South 584/C
Pallama North 701/C
Kundasale Ihala 392/A
Sandilipay Pahala
Lankapura Central 521
Batugamuwa Central 775/B
Yatinuwara Central 912/A
Udakaduwa South 325/A
Ambalantota East 285
Maha Oya Central 31/B
Wellawaya South 116/A
Medakanda Ihala 225/A
Ratugedara Central 811/C
Hakmana Pahala 569
Ginikaduwa Central 814/A
Hingurawatta Ihala 922/C
Kesbewa East
Digawela 82/B
Uva Paranagama Ihala 83
Lahugala South 609/A
Medaoya North 867/C
Rambukkana North 624/A
Jaffna West 347/B
Polonnaruwa West 446/B
Akuressa North 100
Walipura 435/A
Kahatagasdigiliya East 288/B
Hatton South
Pahalakanda South 456/B
Lahugala East 560
Galigamuwa Pahala
Pahalawatta North 40/A
Rukmulla West 623/C
Chilaw Pahala
Galpura Ihala
Oddusuddan Ihala 9/B
Aluthwatta West 59/A
Kalupitiya South
Pallekaduwa East
Giniwatta Central 247/C
Kamburupitiya South
Pelmadulla Central
Kalugama West 58/A
Ruktota Pahala
Hinguragedara Ihala
Deraniyagala 86/B
Hali-Ela South 263/B
Mahiyanganaya North 54
Ihalapitiya Pahala 924/B
Digagama West 64
Digawela 72
Point Pedro East
Tissamaharama Central
Oddusuddan 505
Rajanganaya 400/A
Mahahena West 932/B
Batupitiya East
Lankapura West 661
Katuwana East 769
Sudupitiya East 426/C
Ginipura East 378/A
Ratuhena South
Rukkanda West 486/C
Galigamuwa North
Nawalagala
Soranathota West
Lunugala South 128/B
Mahapura Pahala 79/B
Mahakumbukkadawala South 36
Digagala Ihala 367/C
Kudakumbura 132/A
Pallama Central 719/B
Beruwala East 767
Udagala Ihala
Harispattuwa Pahala 950
Mahawewa Pahala 270
Digaoya Ihala 710/A
Waligala South 657/B
Sudupitiya East 815
Kudadeniya Ihala 75/B
Digapitiya East 918/A
Giriulla South 596/C
Kaluhena East 281
Ratuhena
Walihena Pahala 56/A
Lankapura Ihala
Sudugala Central
Pahalakaduwa South 666/B
Batugedara East 650
Porativu 481/A
Anuradhapura West
Neluwa Ihala 289/C
Udunuwara West 952/C
Angunakolapelessa South 318/C
Hambantota South
Kataragama East 731/A
Nawalawatta
Udahena East
Digawatta Pahala 716/A
Welimada Pahala
Aranayaka 238/B
Kahawatta Central 366/B
Ratutota Ihala
Sudugamuwa Central
Pallekumbura West 899/A
Aluthdeniya Ihala 597/A
Biyagama Central
Walimulla Central
Ukuwela Central 269/C
Ratugama South 669
Arachchikattuwa Ihala 923/A
Medagedara South
Kalawana Ihala 282/B
Monaragala North
Galwatta Central 895/C
Seethawaka Central 122/A
Medaoya West
Okewela East 437/A
Weeraketiya Central 477/C
Nivithigala South 839/B
Kudakumbura Central 578/A
Bibile
Horana North 749
Jaffna North 564/B
Walihena Ihala 554/A
Paranawela East 707/A
Samanthurai South 145/C
Giriulla Ihala 644/C
Medatota Pahala 326/A
Paranakumbura East 367/B
Giniwatta West 530/B
Digaoya Pahala 251
Digawela 55/C
Ruwanwella South
Sandilipay North 923
Nikaweratiya East 465
Paranawela Ihala 560
Pallewela 21/A
Bulathkohupitiya East
Thalapura Central 11
Gampola Central 985/A
Dodangoda East 490
Pahalaoya North 850/B
Ginimulla Central
Hinguragala Central 699/B
Wennappuwa North 166/B
Ginikaduwa East
Karachchi South 889/B
Nivithigala 583
Bandarawela West 760/C
Gampaha North
Arachchikattuwa Pahala 596
Welikanda Ihala 411/B
Suduwela Ihala
Paranawatta Central 443/C
Rukgamuwa East 67/B
Walapane West 751/C
Mannar East
Mahakumbura East
Batagala Pahala 620/A
Bope-Poddala Ihala
Mihintale East
Digagamuwa Pahala
Paranakaduwa West 662
Batamulla
Nawalapitiya West 95/B
Digaoya Pahala 108/C
Mirigama Pahala 536
Kudaoya North 430/A
Mawathagama North
Thampalakamam East 742/B
Vengalacheddikulam Ihala 42/C
Samanthurai South 434/A
Pallekanda West 384/B
Thalapura East 557/C
Mawanella West 288/A
Paranakanda West 792/C
Nawalawela 325/C
Dambulla Pahala
Kudakaduwa Pahala 126/C
Batagala Central 339/B
Rukwela South
Aluthpitiya Ihala 798
Kandaketiya East 851/C
Soranathota West 505/B
Sewanagala South
Batugala West 874/B
Weeraketiya Ihala
Kalutota North 288/B
Ginikaduwa North 678/A
Musali Pahala
Meegahakivula South 45/C
Pallekumbura Ihala
Kaluwatta West
Rambukkana West 291/C
Batapura Central 637/B
Thalapitiya 501/B
Ayagama Central 739
Ambagamuwa Pahala 93
Batugedara Pahala 851/C
Ruktota Pahala 842
Mahara Ihala 860/B
Dickwella South 781/C
Waligamuwa South 363/C
Thunukkai North
Kaludeniya South 18/C
Batuwatta 772/A
Batagoda Pahala 345
Pallewatta West
Aluthgamuwa West 102/B
Maharagama Ihala 846
Pahalaoya Pahala
Palletota 249
Waligamuwa North 686/A
Udahena Ihala
Galle West 198
Meegahakivula North
Digagama South 308/A
Rukwela Ihala 436/A
Nawalagama South 737/A
Biyagama Ihala 480/A
Palledeniya Ihala 66
Tangalle East 662/A
Thalakumbura North 979
Manthai East Ihala 545/C
Haputale Central 183
Velanai Central 369
Aluthgama Central 924/A
Dickwella Central 869/B
Ratugama West 750/A
Imaduwa 256/A
Musali 760/C
Sudugala Central 991
Panadura East 356/B
Paranawatta Pahala 900/B
Welimada West 912/C
Thalapura West 642
Akmeemana Ihala 785/C
Rukgama East 929
Mahakumbukkadawala Pahala 494/A
Ratugoda East 811
Aluthgedara West
Koralai North 830
Wennappuwa East 696
Colombo South 909
Udagama South 596/A
Rukgamuwa South
Hingurakumbura Pahala 759/C
Ihalakumbura East
Batagala 102/C
Kudagoda Central
Suduhena West 914/B
Walapane Central 15/C
Maharagama Ihala
Sudugala West 763/A
Hinguraoya West 215
Galhena Central 663/C
Ampara Ihala 809/B
Dodangoda South 728
Ginikumbura 878
Nawalamulla North 743/B
Koralai West 885/C
Pallekanda East 271/B
Elahera Pahala 164/C
Galwela Ihala 677/B
Kandaketiya North 755/A
Batagedara West
Deraniyagala East 818/C
Vavuniya South Ihala 544/A
Morawewa West 452
Benthota North 442/B
Elpitiya 437/C
Ja-Ela South 34/A
Madhu Central 478
Nawalatota Pahala 788
Batawatta West 439/A
Ihalatota North 749/B
Udawatta West 342
Kalawana Pahala 715/C
Kalukaduwa East 556
Akmeemana Central 224
Uduvil 591/A
Ihalamulla Ihala
Thalapitiya 914/B
Beruwala Pahala 269/B
Bandarawela North 693/C
Ihalakaduwa East 654/B
Ratukaduwa South 736/B
Navithanveli North 687
Digagedara Pahala 618/A
Dimbulagala North 872/B
Siyambalanduwa 710/B
Karaitivu North 129/A
Eppawala
Navagattegama Pahala 949
Nawalagoda 763/C
Kudapura West 293/A
Aluthtota Pahala
Homagama
Maho North 359/C
Batugamuwa 435
Kalupitiya North 972/C
Siyambalanduwa Ihala
Ja-Ela East
Maritimepattu North
Mahagama 181/C
Galgama Ihala 738/B
Thalapura North 886/C
Hinguraoya South
Walallawita 272/B
Rukpitiya South 303/A
Ratuhena 511
Hakmana Pahala
Pahalatota Ihala 532/B
Paranapitiya Pahala 987
Batawatta Ihala
Paranatota Central 73/B
Mahapitiya East 466/A
Ginigedara West 407
Thamankaduwa Ihala 721/A
Rattota East 496
Wennappuwa Central 129
Ihalagamuwa South 393/B
Sandilipay East 948
Batugama North 167/A
Galkaduwa West 479
Kuchchaveli North 62/B
Rukgamuwa
Pahalagoda South
Galwela Pahala 172
Attanagalla Ihala 653
Moratuwa Pahala 533
Gampola Central 244/B
Galgamuwa Pahala
Bataoya West 366
Mahakumbukkadawala South 779
Habaraduwa North 137/B
Habaraduwa Central
Mahapura West
Aluthmulla North 653
Kilinochchi South 187
Ginigala West 809/B
Thalatota South 760/B
Weli Oya East
Hinguradeniya East
Madampe Pahala 995
Walikumbura East 616
Pasgoda Central
Mahakumbura South 381
Medapitiya South
Thalapitiya West 858/A
Bandaragama Central 750/C
Yatawatta East 547/C
Kopay 470
Ginipura West 953/B
Meegahakivula East 603/B
Devinuwara South 552/A
Rukmulla Pahala
Puthukkudiyiruppu Central 716
Sudugedara North
Yatawatta South 12/A
Sudugala East 375/C
Manthai East South 821/C
Hinguradeniya South 909/B
Katana Pahala 263/B
Dehiwala North 380/B
Udapalatha East 463
Aluthwatta South 178/A
Wellawaya East 179/C
Udagamuwa 983/B
Hingurakaduwa Central
Galtota
Lunugamvehera West 603
Chavakachcheri North
Sudugama North
Uhana South 946/C
Tellippalai Pahala 777/A
Kalukaduwa West 113
Kopay Ihala 761/B
Kudagoda South 419/C
Ratuwela North 835
Kesbewa 50
Batahena 121/C
Maha Oya North
Ambalantota 72/A
Imbulpe North 869
Ratutota South 567/C
Haputale Pahala
Kilinochchi East 214
Sudupura Pahala
Mahagoda Pahala 481/A
Nuwara Eliya South
Wennappuwa East 606/B
Nawalaoya North 859/C
Ridimaliyadda Ihala
Kahawatta East 221/C
Hali-Ela 474
Hinguragedara Ihala 458/A
Thampalakamam Ihala 365/B
Paranawatta East
Thambuttegama 494/C
Medagala Ihala 50/A
Mahawewa Central 417/B
Hingurawela North
Suduwatta Central 784/A
Galpura West 618
Uva Paranagama North 978/B
Kandavalai East 381/C
Pahalaoya West 408/B
Mahakumbukkadawala 841/C
Kandavalai
Nintavur Pahala 625/A
Thalapura South 952
Gampola West 808/B
Yakkalamulla Ihala 371
Rukoya South 447/A
Ratugama East
Nanaddan North 754/B
Kudagoda North 951/A
Thalagedara North 204
Dodangoda East 87/B
Hingurakumbura Ihala 971/C
Ihalahena
Ratnapura 343
Ihalagala Pahala 736/C
Polonnaruwa North 245/A
Walihena 712/A
Palletota East
Manthai West 412/A
Hatton Pahala 926/C
Batupura Central 265
Ihalawela Pahala 948/A
Nawalatota East 69/C
Mahakumbukkadawala Ihala 189/C
Thalatota Pahala 266/A
Mirigama 934/C
Kalugala 701/B
Batadeniya West 34
Mahawela West 778/A
Kuchchaveli 811/A
Digagoda North 138/C
Yakkalamulla Pahala 318/C
Ambagamuwa Pahala 166/A
Polonnaruwa South 413/C
Opanayaka Ihala 829/A
Galenbindunuwewa Pahala 155
Hinguragamuwa Ihala
Balangoda North 932
Batupitiya Pahala
Pallepura 636
Kataragama Ihala 741/B
Kudagamuwa North 163/C
Hikkaduwa Central 898
Hanguranketha Pahala
Aluthkanda Central 816/C
Ihalawela Pahala 861
Habaraduwa North 911
Digakumbura Pahala 741/C
Thalamulla East 859/B
Elahera Pahala
Ratugala South
Udawatta North
Nawalagama South 100/C
Kalutara North 165/B
Baddegama
Karachchi North 890
Suduoya East 946/C
Bandaragama North 873/B
Galnewa East
Paranagamuwa
Chilaw Ihala 391/A
Thalapitiya Ihala
Maha Oya Central 429/A
Galkaduwa Ihala 532/B
Eheliyagoda North
Hinguragala Ihala
Aluthgoda 713/A
Nintavur North 121/A
Gampola North 589/C
Kalutota Ihala 432/C
Hali-Ela North 261
Ihaladeniya Central 981
Trincomalee Central 481
Kahawatta North 19/A
Waliwatta North 845/C
Deraniyagala East 654/C
Malimbada Ihala
Paranakaduwa Pahala 358/B
Medagamuwa West 841/B
Mahagala
Hingurakanda Pahala
Sudukaduwa North 653/C
Eheliyagoda Ihala 424
Ratuhena West 802/C
Digakumbura North
Kalugama West 585/A
Ratnapura South 909/C
Bulathkohupitiya East 890/A
Akuressa Ihala
Mutur Ihala 15/A
Mahagamuwa North
Weligama South
Sudugamuwa West 439/B
Medawachchiya West 283/C
Maruthankarney Ihala
Nattandiya Pahala
Galhena East 793/A
Ratugedara Central 81/C
Kudapura Pahala
Paranahena East 188/B
Kesbewa East 374/C
Galmulla Pahala
Sududeniya Ihala 676
Ginitota Ihala 44/A
Udawela Central
Rukkanda West
Walallawita South 572/A
Thalahena East 82/B
Batawela West 234/A
Aluthkaduwa West 414/C
Kebithigollewa East
Kalutota Pahala
Batapitiya Pahala
Pelmadulla West 241/A
Ihalagedara 64/B
Udagamuwa North 133/B
Pallekanda Central 825
Baddegama West 950/A
Kalupura East 110/A
Pannala Central
Giriulla East 84
Galkaduwa Central 425/C
Giriulla Central 775
Badulla West 46/B
Waligamuwa East 577/C
Matara East 966
Ridimaliyadda West 370/C
Karachchi North 659
Puthukkudiyiruppu Ihala
Galkumbura South 339
Pahalaoya South
Welikanda Pahala 393/A
Homagama North 998/A
Dambulla South 976
Ginigama 267/C
Dompe Central 463
Puttalam West 63/A
Pasgoda
Thunukkai Pahala 41
Ruwanwella West 896/B
Medakanda Ihala 758/C
Ukuwela Pahala 989
Udagama Ihala 926
Wilgamuwa Central 902
Mundel Central 160/A
Pahalawatta Central 49
Batukaduwa Ihala
Ihalagedara North 739
Aluthdeniya West 8/B
Ihalagama East 639
Nattandiya Central
Ginitota 737/A
Ibbagamuwa East 698/B
Kuchchaveli 661
Pahalawatta West
Mahara Central 792/C
Kudatota West 943/B
Rukpura 238
Madulla Pahala 758/B
Weligama 455
Matara East 189/A
Beruwala West 626/B
Beruwala 8/C
Rukhena Ihala 930
Puttalam South 524/A
Elahera 151
Pallemulla North 718/B
Weeraketiya Ihala 913/B
Malimbada West 582/C
Thalagama West 88/A
Manthai West North
Ruktota Pahala 114
Batugama Central 721/C
Batahena Central
Thalapura 95/C
Pallegama West 84/C
Pahalakaduwa Pahala
Rukgala East
Digakanda East 517
Maho Ihala 392/B
Thawalama North 818/B
Sudukumbura Pahala 165/B
Nuwara Eliya Ihala 309
Gampaha West 521/A
Aluthwela East 570
Batakaduwa East 146/B
Pahalagoda 455/B
Paranapitiya 630
Sudukaduwa Pahala 751
Kalugoda West 10/C
Bandarawela Pahala
Porativu East 534
Galnewa 346
Udapitiya Ihala 315/C
Hali-Ela North 145/B
Gampola North 154/B
Pathahewaheta Pahala 295/B
Thamankaduwa East 253
Palleoya East
Mahahena West 145/C
Beliatta Ihala
Pannala 397/C
Mahagama North 430/C
Paranakanda South 854/C
Lunugamvehera Ihala 23/C
Pahalamulla Central
Ginigamuwa Ihala
Alawwa East
Vengalacheddikulam East
Nattandiya East 524
Medapura Pahala 177/B
Thalahena West 834
Kothmale East 508
Medapura Ihala
Walallawita West
Medawela Central 864/A
Lahugala Pahala 57/C
Medadeniya North 984
Ihalagedara North
Okewela West
Kudawatta North 836/A
Uduvil East 313/B
Giniwatta Central
Pannala South 78
Ihaladeniya Ihala 196/B
Rukhena Central 826
Mawanella South 712/C
Pahalawela Central 396/A
Kudatota South 142/C
Lankapura Central 451
Rukkanda Pahala
Uduvil Pahala 373/B
Hingurahena Pahala 16/B
Pahalagamuwa Pahala
Kaluoya East 510/C
Thalahena 49/A
Galgamuwa Central 417/A
Aluthgoda Central 57/A
Bope-Poddala West 16
Hatton Ihala 49/A
Ihalawela 310/C
Mahaoya Ihala 329/B
Imaduwa South 831/B
Palleoya East 202/A
Ratuwatta Central 536/B
Wellawaya East 283/C
Batutota West
Walipura 646
Kudadeniya East 147/B
Vavuniya West 21
Medahena West 633
Digagama Central 361/A
Medawatta West 718/A
Kiriella Pahala 358/B
Udunuwara
Udakaduwa
Rukgoda West 678/A
Ginikanda North
Sudutota South 641/C
Galigamuwa West
Medagama Ihala 540/B
Mutur West 423/A
Suduwatta North
Attanagalla South 616/C
Pottuvil West 3
Paranapura East 406/C
Soranathota Pahala 713/A
Verugal North 96/A
Kalugala Central 95/B
Verugal 476/C
Pallekanda East 405/B
Kilinochchi West 570/B
Waligamuwa South
Paranaoya West 242/A
Ambanganga South 625/B
Udadeniya 678/A
Kaluhena East 830/C
Walikumbura East
Kuchchaveli North 369/B
Imbulpe South 253/B
Batuoya 767
Batupitiya Pahala 404/A
Aluthoya East 476/B
Nawalapitiya Central 471/A
Udakanda South
Vavuniya South South 297/A
Kurunegala North 161/C
Tellippalai Pahala 582/B
Madhu West 715
Mahapura
Waligamuwa East
Ginipura Ihala 866/C
Thalahena South 972/C
Galmulla East 732
Ihalagamuwa North 34/A
Kalukanda South 10/C
Pallepura North 497/B
Ambalantota Ihala 493/C
Nawalahena South 221/A
Kattankudy West 499/B
Pottuvil 727/A
Kalupitiya Central
Kalukumbura Ihala 183
Paranawela East 897/C
Vengalacheddikulam East 991/A
Morawewa North 844/C
Kalugala Pahala 351/B
Beruwala West 295/A
Kalmunai Pahala 52/A
Galwela Central 338/B
Anuradhapura Central
Rajanganaya North 124/C
Udunuwara 771/C
Manmunai Pahala 872/A
Pahalagala North 235/B
Hinguragedara Pahala 479/B
Bulathkohupitiya West 529
Walapane Central 600/A
Ratuwatta Central 472
Digadeniya Ihala 798/C
Aranayaka Central 898/B
Sudukumbura West 339
Hinguragamuwa Ihala 835/B
