name
Addalachchenai 344/C
Addalachchenai Central
Badalkumbura South 578/C
Badalkumbura West
Baddegama
Baddegama 47/A
Baddegama 971
Baddegama Central 301
Baddegama Central 762
Baddegama East 171/C
Baddegama East 744/C
Baddegama Ihala
Baddegama Ihala 233/C
Baddegama Ihala 302/B
Baddegama Ihala 50
Baddegama Ihala 508/C
Baddegama Pahala
Baddegama South
Baddegama West
Baddegama West 150
Baddegama West 190
Baddegama West 239/C
Baddegama West 621
Baddegama West 950/A
Badulla
Badulla 796/B
Badulla Central 54/C
Badulla Central 720/A
Badulla Ihala
Badulla North 271/B
Badulla North 840/A
Badulla South
Badulla West
Badulla West 46/B
Balangoda
Balangoda Central 603
Balangoda Central 863/A
Balangoda Central 984/A
Balangoda East
Balangoda East 833/A
Balangoda Ihala 399
Balangoda North
Balangoda North 84/C
Balangoda North 932
Balangoda Pahala
Balangoda Pahala 200/C
Balangoda Pahala 452/C
Balangoda Pahala 629/A
Balangoda South
Balangoda South 689
Balangoda West
Balangoda West 124/C
Bandaragama
Bandaragama 1
Bandaragama 664/B
Bandaragama Central
Bandaragama Central 750/C
Bandaragama Central 850
Bandaragama Ihala 466/B
Bandaragama Ihala 672
Bandaragama North
Bandaragama North 304
Bandaragama North 873/B
Bandaragama South
Bandaragama South 388
Bandaragama South 780/C
Bandaragama West 419
Bandaragama West 470
Bandaragama West 926/A
Bandarawela 705
Bandarawela Central
Bandarawela Central 149/A
Bandarawela Central 330/C
Bandarawela Central 665
Bandarawela East 631/C
Bandarawela East 643/B
Bandarawela East 778
Bandarawela East 939
Bandarawela Ihala 103/A
Bandarawela Ihala 834
Bandarawela Ihala 990/B
Bandarawela North 693/C
Bandarawela Pahala
Bandarawela South 298/B
Bandarawela West
Bandarawela West 327/C
Bandarawela West 760/C
Batadeniya
Batadeniya East
Batadeniya East 209/C
Batadeniya East 260/B
Batadeniya East 418
Batadeniya East 683/C
Batadeniya North
Batadeniya South 522/C
Batadeniya West 34
Batadeniya West 816
Batadeniya West 90/C
Batagala
Batagala 102/C
Batagala Central
Batagala Central 339/B
Batagala Central 97/C
Batagala East
Batagala Ihala 49/A
Batagala Ihala 903/A
Batagala North
Batagala North 508/C
Batagala Pahala 620/A
Batagala Pahala 800/C
Batagala South
Batagala South 743/B
Batagala West 855
Batagama
Batagama 317/C
Batagama 92/B
Batagama East
Batagama East 483/C
Batagama Ihala
Batagama Ihala 21/C
Batagama Ihala 349/C
Batagama Pahala
Batagama Pahala 801
Batagama West
Batagama West 128
Batagama West 835
Batagamuwa
Batagamuwa 133/B
Batagamuwa 601
Batagamuwa Central 397/A
Batagamuwa East 3/A
Batagamuwa East 633
Batagamuwa East 851
Batagamuwa Ihala 210
Batagamuwa Ihala 355/A
Batagamuwa North
Batagamuwa North 153/A
Batagamuwa North 688
Batagamuwa South
Batagamuwa South 161/C
Batagamuwa West 920/B
Batagedara
Batagedara Central 909
Batagedara East
Batagedara Ihala 186/B
Batagedara Ihala 32/A
Batagedara Ihala 364/A
Batagedara North
Batagedara North 252/C
Batagedara Pahala
Batagedara Pahala 517/C
Batagedara Pahala 875/A
Batagedara South 763/C
Batagedara West
Batagoda Central 16/C
Batagoda Central 50/B
Batagoda East 58/A
Batagoda North 888/B
Batagoda Pahala
Batagoda Pahala 345
Batagoda Pahala 447/B
Batagoda Pahala 581/A
Batagoda South 484/A
Batagoda South 755/C
Batagoda West
Batahena
Batahena 121/C
Batahena 615/B
Batahena 681/B
Batahena Central
Batahena Central 131
Batahena Central 370/B
Batahena East 34
Batahena North
Batahena South
Batahena West 268/B
Batahena West 919
Batakaduwa
Batakaduwa 380/A
Batakaduwa 54/B
Batakaduwa 650/C
Batakaduwa 903/C
Batakaduwa Central
Batakaduwa Central 811/C
Batakaduwa East
Batakaduwa East 146/B
Batakaduwa Ihala 287/A
Batakaduwa Ihala 408/A
Batakaduwa North 54/B
Batakaduwa Pahala 589/A
Batakaduwa South 754
Batakaduwa South 809/B
Batakaduwa West 53/B
Batakanda 275/C
Batakanda 72
Batakanda 914/C
Batakanda Central
Batakanda Central 663/C
Batakanda Central 717/A
Batakanda Central 88/B
Batakanda East
Batakanda East 701/A
Batakanda East 727
Batakanda Ihala 217/A
Batakanda Ihala 690/B
Batakanda North
Batakanda South
Batakanda West 121/B
Batakanda West 313/A
Batakanda West 946/C
Batakumbura Central 125/A
Batakumbura Central 328/C
Batakumbura East 384
Batakumbura Ihala
Batakumbura Ihala 315/A
Batakumbura Ihala 519
Batakumbura Ihala 615/C
Batakumbura North
Batakumbura North 215
Batakumbura North 850/A
Batakumbura North 879
Batakumbura Pahala
Batakumbura South
Batakumbura West
Batamulla
Batamulla Central
Batamulla Central 580/C
Batamulla East
Batamulla East 502
Batamulla East 627/B
Batamulla Ihala
Batamulla Ihala 103
Batamulla Ihala 804/A
Batamulla North 879
Batamulla North 960/C
Batamulla Pahala 217/A
Batamulla Pahala 269
Batamulla Pahala 966/B
Batamulla West
Batamulla West 855/A
Bataoya
Bataoya East 389/A
Bataoya East 393/A
Bataoya Ihala 174/B
Bataoya Ihala 257/B
Bataoya North 812/A
Bataoya Pahala 592/C
Bataoya South 339/B
Bataoya South 762/B
Bataoya West 366
Bataoya West 891/C
Bataoya West 942/B
Batapitiya 417/C
Batapitiya 60/B
Batapitiya Central 216
Batapitiya East 165/A
Batapitiya East 554/A
Batapitiya East 835/B
Batapitiya Ihala 223/A
Batapitiya North 367/A
Batapitiya North 476/A
Batapitiya North 486/B
Batapitiya North 95/B
Batapitiya Pahala
Batapitiya Pahala 403/A
Batapitiya South 181/C
Batapitiya South 666/B
Batapitiya West
Batapitiya West 758
Batapitiya West 899/B
Batapura Central
Batapura Central 43
Batapura Central 637/B
Batapura Ihala 161/A
Batapura Ihala 752/B
Batapura North 52/C
Batapura North 738/A
Batapura North 9/C
Batapura Pahala 186
Batapura Pahala 41/A
Batapura South
Batapura South 341
Batapura South 961/C
Batapura West 456/B
Batapura West 691
Batatota 259/C
Batatota Central
Batatota East
Batatota Ihala
Batatota Ihala 551/A
Batatota Ihala 620/C
Batatota North 23/A
Batatota North 992/C
Batatota Pahala
Batatota Pahala 594
Batatota South 54/A
Batatota West 202/B
Batatota West 864/A
Batawatta 809/A
Batawatta Central
Batawatta Central 200/C
Batawatta Central 375
Batawatta East
Batawatta Ihala
Batawatta North 524/C
Batawatta North 937/B
Batawatta Pahala
Batawatta South 451/B
Batawatta West 280
Batawatta West 439/A
Batawela
Batawela 89/C
Batawela Central
Batawela East 216/C
Batawela Ihala 555
Batawela Pahala
Batawela Pahala 897
Batawela West
Batawela West 234/A
Batawela West 323/B
Batticaloa
Batticaloa 298/B
Batticaloa 951/C
Batticaloa East
Batticaloa Ihala
Batticaloa Ihala 927/B
Batticaloa North 47/C
Batticaloa Pahala
Batticaloa Pahala 255/C
Batticaloa Pahala 30/A
Batticaloa South 698/B
Batticaloa West
Batticaloa West 781/B
Batticaloa West 836
Batudeniya
Batudeniya 963
Batudeniya Central
Batudeniya Central 206/A
Batudeniya East 742/B
Batudeniya Ihala
Batudeniya Ihala 680/B
Batudeniya Ihala 976
Batudeniya Pahala
Batudeniya Pahala 163/A
Batudeniya South 342/C
Batugala 261
Batugala Central 203/A
Batugala Central 615/A
Batugala East 128/C
Batugala Ihala 185/B
Batugala Ihala 329/C
Batugala Ihala 861/C
Batugala North 166/B
Batugala North 806/B
Batugala Pahala
Batugala South 299
Batugala South 857
Batugala West
Batugala West 243
Batugala West 415/C
Batugala West 874/B
Batugama 68/C
Batugama Central 700/B
Batugama Central 721/C
Batugama East
Batugama Ihala 268/C
Batugama Ihala 558/C
Batugama North 167/A
Batugama North 87/C
Batugama Pahala 402/B
Batugama South
Batugama South 448/A
Batugama South 696/A
Batugama South 94/A
Batugama West 190
Batugamuwa
Batugamuwa 152/A
Batugamuwa 435
Batugamuwa 646/A
Batugamuwa 874/C
Batugamuwa Central 775/B
Batugamuwa East
Batugamuwa Ihala
Batugamuwa Ihala 695/C
Batugamuwa Ihala 995/C
Batugamuwa South
Batugamuwa South 233/B
Batugamuwa West 515/A
Batugamuwa West 625
Batugedara East 214/A
Batugedara East 650
Batugedara North 414/A
Batugedara North 844
Batugedara Pahala 175
Batugedara Pahala 248/B
Batugedara Pahala 851/C
Batugedara South
Batugedara South 656/C
Batugedara South 817/B
Batugedara West
Batugedara West 869/A
Batugoda
Batugoda 152
Batugoda 681/C
Batugoda Central
Batugoda Central 686/A
Batugoda East 577/C
Batugoda East 813
Batugoda Ihala 394/C
Batugoda North 125/C
Batugoda North 593/A
Batugoda Pahala
Batugoda Pahala 733/A
Batugoda South
Batugoda West
Batugoda West 270/B
Batugoda West 641/B
Batugoda West 655
Batuhena
Batuhena 132/A
Batuhena 302/A
Batuhena 52/C
Batuhena 947/B
Batuhena Central
Batuhena East 465/B
Batuhena Ihala 749/B
Batuhena South
Batuhena South 667/C
Batukaduwa
Batukaduwa 562
Batukaduwa Central
Batukaduwa Central 958/A
Batukaduwa Ihala
Batukaduwa North 490/C
Batukaduwa Pahala 13/B
Batukaduwa South
Batukaduwa South 966/A
Batukaduwa West
Batukaduwa West 195/A
Batukaduwa West 753/A
Batukanda Central 949/C
Batukanda East 312/A
Batukanda Ihala 354/C
Batukanda Ihala 766/B
Batukanda Ihala 812/A
Batukanda North 591/B
Batukanda North 990/B
Batukanda Pahala 96/C
Batukanda South 537/B
Batukanda West 286/C
Batukumbura Central 268
Batukumbura East 983/B
Batukumbura North
Batukumbura North 965/A
Batukumbura Pahala
Batukumbura Pahala 162/A
Batukumbura Pahala 489/A
Batukumbura Pahala 75/B
Batukumbura Pahala 972/A
Batukumbura South 568/B
Batukumbura West 665/B
Batukumbura West 970
Batumulla
Batumulla Central 230
Batumulla Central 248
Batumulla East 436/A
Batumulla Ihala
Batumulla Ihala 296/B
Batumulla Ihala 320/B
Batumulla Pahala
Batumulla Pahala 657/A
Batumulla South
Batuoya
Batuoya 114
Batuoya 767
Batuoya Central
Batuoya Central 888/C
Batuoya Ihala
Batuoya North 493
Batuoya North 967
Batuoya Pahala 168/B
Batuoya Pahala 318/B
Batuoya South 730/B
Batuoya South 779/A
Batuoya South 911/B
Batuoya West 96/A
Batupitiya Central
Batupitiya Central 414
Batupitiya East
Batupitiya East 558/A
Batupitiya Ihala
Batupitiya Ihala 12
Batupitiya Ihala 709/A
Batupitiya North 414
Batupitiya North 965/C
Batupitiya Pahala
Batupitiya Pahala 404/A
Batupitiya Pahala 902/C
Batupitiya West 203/C
Batupura
Batupura 23/B
Batupura 464/A
Batupura Central
Batupura Central 265
Batupura Central 863/B
Batupura East
Batupura East 103
Batupura East 551/B
Batupura Ihala
Batupura North
Batupura North 375/C
Batupura North 449/C
Batupura Pahala
Batupura Pahala 240/A
Batupura Pahala 270/C
Batupura Pahala 910/A
Batupura South 419
Batupura South 952
Batutota
Batutota Central 207/C
Batutota Central 244/A
Batutota East
Batutota North
Batutota Pahala
Batutota South
Batutota West
Batutota West 605/A
Batuwatta 144/B
Batuwatta 772/A
Batuwatta Central
Batuwatta Central 225/B
Batuwatta Central 451
Batuwatta East 178/A
Batuwatta East 276/A
Batuwatta East 622/C
Batuwatta East 650
Batuwatta East 675/A
Batuwatta Ihala
Batuwatta Ihala 335/A
Batuwatta Ihala 594/C
Batuwatta North
Batuwatta Pahala
Batuwatta Pahala 732/C
Batuwatta South 43
Batuwatta West 374/A
Batuwela 532/B
Batuwela Central 210/C
Batuwela Central 456/B
Batuwela Central 897/C
Batuwela East
Batuwela East 276/A
Batuwela East 737/B
Batuwela East 939
Batuwela Ihala
Batuwela North 676/B
Batuwela North 708/C
Batuwela North 864/A
Batuwela Pahala
Batuwela South
Batuwela West 345
Batuwela West 359
Beliatta
Beliatta 157/A
Beliatta 795/C
Beliatta 990/B
Beliatta Central
Beliatta Central 576/C
Beliatta East 713/C
Beliatta Ihala
Beliatta Ihala 205/B
Beliatta Ihala 376
Beliatta North
Beliatta North 424/A
Beliatta North 585/C
Beliatta Pahala
Beliatta South 456/C
Beliatta West
Beliatta West 962
Benthota 104/B
Benthota Central
Benthota Central 711/C
Benthota East 16/A
Benthota East 21/A
Benthota East 248
Benthota East 62
Benthota Ihala 515/B
Benthota North
Benthota North 236/A
Benthota North 331/A
Benthota North 442/B
Benthota North 837/C
Benthota Pahala
Benthota Pahala 812/B
Benthota Pahala 98
Benthota Pahala 996/B
Benthota South
Benthota South 163/C
Benthota West
Benthota West 14/C
Beruwala
Beruwala 569/B
Beruwala 760/A
Beruwala 8/C
Beruwala Central 542
Beruwala East
Beruwala East 310/A
Beruwala East 545/A
Beruwala East 767
Beruwala Ihala 58/A
Beruwala Ihala 732/C
Beruwala North
Beruwala Pahala 269/B
Beruwala Pahala 524/B
Beruwala South
Beruwala South 587/A
Beruwala West 295/A
Beruwala West 309/A
Beruwala West 626/B
Beruwala West 718
Beruwala West 871/B
Bibile
Bibile 802
Bibile Central
Bibile Central 322/C
Bibile Central 503/B
Bibile East
Bibile East 571/C
Bibile Ihala
Bibile Ihala 581
Bibile North
Bibile Pahala
Bibile Pahala 488/A
Bibile South
Bibile West 116/C
Bibile West 283/A
Biyagama 269/B
Biyagama 783/C
Biyagama Central
Biyagama Central 742
Biyagama Central 872
Biyagama East
Biyagama East 296
Biyagama East 842/C
Biyagama Ihala 480/A
Biyagama Ihala 493
Biyagama Ihala 697/A
Biyagama Ihala 858
Biyagama North
Biyagama North 328/B
Biyagama Pahala 150/B
Biyagama Pahala 242/C
Biyagama Pahala 418
Biyagama Pahala 596
Biyagama Pahala 738/A
Biyagama West
Biyagama West 873/B
Bope-Poddala
Bope-Poddala Central
Bope-Poddala Central 105/C
